product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
DMK-127-89-GR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-89 ลาย Mickey Mouse (แขนสั้น-ขาสั้น สีเทา ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-89-NV-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-89 ลาย Mickey Mouse (แขนสั้น-ขาสั้น สีกรม ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-90-CR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-90 ลาย Mickey Mouse (แขนสั้น-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-90-GE-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-90 ลาย Mickey Mouse (แขนสั้น-ขายาว สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-90-GE-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-90 ลาย Mickey Mouse (แขนสั้น-ขายาว สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-90-GR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-90 ลาย Mickey Mouse (แขนสั้น-ขายาว สีเทา ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-90-NV-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-90 ลาย Mickey Mouse (แขนสั้น-ขายาว สีกรม ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-91-CR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-91 ลาย Mickey Mouse (แขนยาว-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-91-GE-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-91 ลาย Mickey Mouse (แขนยาว-ขายาว สีเขียว ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-91-GR-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-91 ลาย Mickey Mouse (แขนยาว-ขายาว สีเทา ฟรีไซส์),2025-10-01,2025,10,0
DMK-127-91-NV-F,ชุดนอน PAJARA PAJAMAS (Lite) DMK-127-91 ลาย Mickey Mouse (แขนยาว-ขายาว สีกรม ฟรีไซส์),2025-10-01,2025,10,0
DNMM-0019-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0019 ลายมิกกี้เมาส์ (สีดำ ไซส์ F),2025-10-01,2025,10,12
DNMM-0019-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0019 ลายมิกกี้เมาส์ (สีขาว ไซส์ F),2025-10-01,2025,10,12
DNMM-0021-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0021 ลายมิกกี้เมาส์ (สีดำ ไซส์ F),2025-10-01,2025,10,12
DNMM-0021-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0021 ลายมิกกี้เมาส์ (สีขาว ไซส์ F),2025-10-01,2025,10,12
DNMM-0022-BK-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0022 ลายมิกกี้เมาส์ (สีดำ ไซส์ F),2025-10-01,2025,10,12
DNMM-0022-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส DNMM-0022 ลายมิกกี้เมาส์ (สีขาว ไซส์ F),2025-10-01,2025,10,12
DNPA-0003-BK-F,เสื้อยืด T-Shirt แขนสั้น Mickey 1928 (สีดำ),2025-10-01,2025,10,9
